id,created_at,parameter,serial_number,ts,value,device_model_id
2563738321,2023-01-01T08:22:09.865585,PV4Voltage,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738322,2023-01-01T08:22:09.866161,outputEnergy,J01G11301BNB114,2023-01-01T05:22:07.327,4871.2,13
2563738323,2023-01-01T08:22:09.866738,CVoltage,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738324,2023-01-01T08:22:09.867312,PV2Voltage,J01G11301BNB114,2023-01-01T05:22:07.327,55.6,13
2563738325,2023-01-01T08:22:09.867902,PV3Voltage,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738326,2023-01-01T08:22:09.868656,acActivePower,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563804646,2023-01-01T08:28:09.545694,PV1Current,J01G11301BNB114,2023-01-01T05:28:07.336,0.1,13
2563804647,2023-01-01T08:28:09.547337,PV1Voltage,J01G11301BNB114,2023-01-01T05:28:07.336,260.1,13
2563804648,2023-01-01T08:28:09.547899,PV3Current,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804649,2023-01-01T08:28:09.548950,powerFactory,J01G11301BNB114,2023-01-01T05:28:07.336,0.461,13
2563804650,2023-01-01T08:28:09.549572,deviceID,J01G11301BNB114,2023-01-01T05:28:07.336,J01G11301BNB114,13
2563804651,2023-01-01T08:28:09.550132,CCurrent,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804652,2023-01-01T08:28:09.550694,PV2Current,J01G11301BNB114,2023-01-01T05:28:07.336,0.1,13
2563804653,2023-01-01T08:28:09.551296,lineFrequency,J01G11301BNB114,2023-01-01T05:28:07.336,60.02,13
2563804654,2023-01-01T08:28:09.551853,ACurrent,J01G11301BNB114,2023-01-01T05:28:07.336,1.4,13
2563804655,2023-01-01T08:28:09.552413,AVoltage,J01G11301BNB114,2023-01-01T05:28:07.336,221.8,13
2563804656,2023-01-01T08:28:09.552943,inverterStatus,J01G11301BNB114,2023-01-01T05:28:07.336,On-Grid,13
2563804657,2023-01-01T08:28:09.553462,PV4Current,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804658,2023-01-01T08:28:09.553972,Temp,J01G11301BNB114,2023-01-01T05:28:07.336,25,13
2563804659,2023-01-01T08:28:09.554627,BVoltage,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804660,2023-01-01T08:28:09.555162,BCurrent,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804661,2023-01-01T08:28:09.555682,PV4Voltage,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804662,2023-01-01T08:28:09.556196,outputEnergy,J01G11301BNB114,2023-01-01T05:28:07.336,4871.2,13
2563804663,2023-01-01T08:28:09.556718,CVoltage,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804664,2023-01-01T08:28:09.557263,PV2Voltage,J01G11301BNB114,2023-01-01T05:28:07.336,209.1,13
2563804665,2023-01-01T08:28:09.557782,PV3Voltage,J01G11301BNB114,2023-01-01T05:28:07.336,0,13
2563804666,2023-01-01T08:28:09.558309,acActivePower,J01G11301BNB114,2023-01-01T05:28:07.336,0.143,13
2563897069,2023-01-01T08:34:09.593617,PV1Current,J01G11301BNB114,2023-01-01T05:34:07.342,0.2,13
2563897070,2023-01-01T08:34:09.594813,PV1Voltage,J01G11301BNB114,2023-01-01T05:34:07.342,287.7,13
2563897071,2023-01-01T08:34:09.595391,PV3Current,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897072,2023-01-01T08:34:09.595948,powerFactory,J01G11301BNB114,2023-01-01T05:34:07.342,0.582,13
2563897073,2023-01-01T08:34:09.596527,deviceID,J01G11301BNB114,2023-01-01T05:34:07.342,J01G11301BNB114,13
2563897074,2023-01-01T08:34:09.597077,CCurrent,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897075,2023-01-01T08:34:09.597630,PV2Current,J01G11301BNB114,2023-01-01T05:34:07.342,0.2,13
2563897076,2023-01-01T08:34:09.598151,lineFrequency,J01G11301BNB114,2023-01-01T05:34:07.342,60.07,13
2563897077,2023-01-01T08:34:09.598774,ACurrent,J01G11301BNB114,2023-01-01T05:34:07.342,1.5,13
2563897078,2023-01-01T08:34:09.599322,AVoltage,J01G11301BNB114,2023-01-01T05:34:07.342,223.2,13
2563897079,2023-01-01T08:34:09.600081,inverterStatus,J01G11301BNB114,2023-01-01T05:34:07.342,On-Grid,13
2563897080,2023-01-01T08:34:09.600672,PV4Current,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897081,2023-01-01T08:34:09.601230,Temp,J01G11301BNB114,2023-01-01T05:34:07.342,26,13
2563897082,2023-01-01T08:34:09.601824,BVoltage,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897083,2023-01-01T08:34:09.602354,BCurrent,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897084,2023-01-01T08:34:09.602891,PV4Voltage,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897085,2023-01-01T08:34:09.603414,outputEnergy,J01G11301BNB114,2023-01-01T05:34:07.342,4871.2,13
2563897086,2023-01-01T08:34:09.603960,CVoltage,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897087,2023-01-01T08:34:09.604485,PV2Voltage,J01G11301BNB114,2023-01-01T05:34:07.342,223.7,13
2563897088,2023-01-01T08:34:09.605010,PV3Voltage,J01G11301BNB114,2023-01-01T05:34:07.342,0,13
2563897089,2023-01-01T08:34:09.605547,acActivePower,J01G11301BNB114,2023-01-01T05:34:07.342,0.195,13
2564026977,2023-01-01T08:41:41.090909,PV1Current,J01G11301BNB114,2023-01-01T05:41:37.354,0.3,13
2564026978,2023-01-01T08:41:41.092087,PV1Voltage,J01G11301BNB114,2023-01-01T05:41:37.354,297.1,13
2564026979,2023-01-01T08:41:41.092641,PV3Current,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026980,2023-01-01T08:41:41.093183,powerFactory,J01G11301BNB114,2023-01-01T05:41:37.354,0.733,13
2564026981,2023-01-01T08:41:41.093732,deviceID,J01G11301BNB114,2023-01-01T05:41:37.354,J01G11301BNB114,13
2564026982,2023-01-01T08:41:41.094277,CCurrent,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026983,2023-01-01T08:41:41.094824,PV2Current,J01G11301BNB114,2023-01-01T05:41:37.354,0.4,13
2564026984,2023-01-01T08:41:41.095376,lineFrequency,J01G11301BNB114,2023-01-01T05:41:37.354,59.99,13
2564026985,2023-01-01T08:41:41.095919,ACurrent,J01G11301BNB114,2023-01-01T05:41:37.354,1.6,13
2564026986,2023-01-01T08:41:41.096452,AVoltage,J01G11301BNB114,2023-01-01T05:41:37.354,223.5,13
2564026987,2023-01-01T08:41:41.097026,inverterStatus,J01G11301BNB114,2023-01-01T05:41:37.354,On-Grid,13
2564026988,2023-01-01T08:41:41.097595,PV4Current,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026989,2023-01-01T08:41:41.098137,Temp,J01G11301BNB114,2023-01-01T05:41:37.354,26,13
2564026990,2023-01-01T08:41:41.098672,BVoltage,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026991,2023-01-01T08:41:41.099221,BCurrent,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026992,2023-01-01T08:41:41.099784,PV4Voltage,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026993,2023-01-01T08:41:41.100332,outputEnergy,J01G11301BNB114,2023-01-01T05:41:37.354,4871.2,13
2564026994,2023-01-01T08:41:41.100882,CVoltage,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026995,2023-01-01T08:41:41.101450,PV2Voltage,J01G11301BNB114,2023-01-01T05:41:37.354,219.1,13
2564026996,2023-01-01T08:41:41.101999,PV3Voltage,J01G11301BNB114,2023-01-01T05:41:37.354,0,13
2564026997,2023-01-01T08:41:41.102552,acActivePower,J01G11301BNB114,2023-01-01T05:41:37.354,0.262,13
2564140966,2023-01-01T08:48:02.010159,PV1Current,J01G11301BNB114,2023-01-01T05:47:37.360,0.5,13
2564140967,2023-01-01T08:48:02.011518,PV1Voltage,J01G11301BNB114,2023-01-01T05:47:37.360,314.9,13
2564140968,2023-01-01T08:48:02.012162,PV3Current,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140969,2023-01-01T08:48:02.012798,powerFactory,J01G11301BNB114,2023-01-01T05:47:37.360,0.831,13
2564140970,2023-01-01T08:48:02.013442,deviceID,J01G11301BNB114,2023-01-01T05:47:37.360,J01G11301BNB114,13
2564140971,2023-01-01T08:48:02.014081,CCurrent,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140972,2023-01-01T08:48:02.014723,PV2Current,J01G11301BNB114,2023-01-01T05:47:37.360,0.5,13
2564140973,2023-01-01T08:48:02.015355,lineFrequency,J01G11301BNB114,2023-01-01T05:47:37.360,60,13
2564140974,2023-01-01T08:48:02.015989,ACurrent,J01G11301BNB114,2023-01-01T05:47:37.360,1.8,13
2564140975,2023-01-01T08:48:02.016584,AVoltage,J01G11301BNB114,2023-01-01T05:47:37.360,225.2,13
2564140976,2023-01-01T08:48:02.017203,inverterStatus,J01G11301BNB114,2023-01-01T05:47:37.360,On-Grid,13
2564140977,2023-01-01T08:48:02.017852,PV4Current,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140978,2023-01-01T08:48:02.018468,Temp,J01G11301BNB114,2023-01-01T05:47:37.360,26,13
2564140979,2023-01-01T08:48:02.019068,BVoltage,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140980,2023-01-01T08:48:02.019636,BCurrent,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140981,2023-01-01T08:48:02.020213,PV4Voltage,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140982,2023-01-01T08:48:02.020771,outputEnergy,J01G11301BNB114,2023-01-01T05:47:37.360,4871.3,13
2564140983,2023-01-01T08:48:02.021321,CVoltage,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140984,2023-01-01T08:48:02.021895,PV2Voltage,J01G11301BNB114,2023-01-01T05:47:37.360,228,13
2564140985,2023-01-01T08:48:02.022450,PV3Voltage,J01G11301BNB114,2023-01-01T05:47:37.360,0,13
2564140986,2023-01-01T08:48:02.022993,acActivePower,J01G11301BNB114,2023-01-01T05:47:37.360,0.337,13
2564258967,2023-01-01T08:54:50.231457,PV1Current,J01G11301BNB114,2023-01-01T05:53:37.379,0.6,13
2564258968,2023-01-01T08:54:50.232739,PV1Voltage,J01G11301BNB114,2023-01-01T05:53:37.379,326.2,13
2564258969,2023-01-01T08:54:50.233313,PV3Current,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258970,2023-01-01T08:54:50.233847,powerFactory,J01G11301BNB114,2023-01-01T05:53:37.379,0.865,13
2564258971,2023-01-01T08:54:50.234393,deviceID,J01G11301BNB114,2023-01-01T05:53:37.379,J01G11301BNB114,13
2564258972,2023-01-01T08:54:50.234951,CCurrent,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258973,2023-01-01T08:54:50.235536,PV2Current,J01G11301BNB114,2023-01-01T05:53:37.379,0.6,13
2564258974,2023-01-01T08:54:50.236136,lineFrequency,J01G11301BNB114,2023-01-01T05:53:37.379,60.03,13
2564258975,2023-01-01T08:54:50.236717,ACurrent,J01G11301BNB114,2023-01-01T05:53:37.379,2.1,13
2564258976,2023-01-01T08:54:50.237259,AVoltage,J01G11301BNB114,2023-01-01T05:53:37.379,225.2,13
2564258977,2023-01-01T08:54:50.237798,inverterStatus,J01G11301BNB114,2023-01-01T05:53:37.379,On-Grid,13
2564258978,2023-01-01T08:54:50.238338,PV4Current,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258979,2023-01-01T08:54:50.238883,Temp,J01G11301BNB114,2023-01-01T05:53:37.379,27,13
2564258980,2023-01-01T08:54:50.239421,BVoltage,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258981,2023-01-01T08:54:50.239957,BCurrent,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258982,2023-01-01T08:54:50.240492,PV4Voltage,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258983,2023-01-01T08:54:50.241024,outputEnergy,J01G11301BNB114,2023-01-01T05:53:37.379,4871.3,13
2564258984,2023-01-01T08:54:50.241555,CVoltage,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258985,2023-01-01T08:54:50.242105,PV2Voltage,J01G11301BNB114,2023-01-01T05:53:37.379,240,13
2564258986,2023-01-01T08:54:50.242700,PV3Voltage,J01G11301BNB114,2023-01-01T05:53:37.379,0,13
2564258987,2023-01-01T08:54:50.243235,acActivePower,J01G11301BNB114,2023-01-01T05:53:37.379,0.409,13
2564349751,2023-01-01T09:00:17.361824,PV1Current,J01G11301BNB114,2023-01-01T05:58:07.372,0.7,13
2564349752,2023-01-01T09:00:17.362955,PV1Voltage,J01G11301BNB114,2023-01-01T05:58:07.372,327.5,13
2564349753,2023-01-01T09:00:17.363494,PV3Current,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349754,2023-01-01T09:00:17.364031,powerFactory,J01G11301BNB114,2023-01-01T05:58:07.372,0.881,13
2564349755,2023-01-01T09:00:17.364570,deviceID,J01G11301BNB114,2023-01-01T05:58:07.372,J01G11301BNB114,13
2564349756,2023-01-01T09:00:17.365097,CCurrent,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349757,2023-01-01T09:00:17.365629,PV2Current,J01G11301BNB114,2023-01-01T05:58:07.372,0.6,13
2564349758,2023-01-01T09:00:17.366157,lineFrequency,J01G11301BNB114,2023-01-01T05:58:07.372,59.99,13
2564349759,2023-01-01T09:00:17.366685,ACurrent,J01G11301BNB114,2023-01-01T05:58:07.372,2.2,13
2564349760,2023-01-01T09:00:17.367213,AVoltage,J01G11301BNB114,2023-01-01T05:58:07.372,227.1,13
2564349761,2023-01-01T09:00:17.367744,inverterStatus,J01G11301BNB114,2023-01-01T05:58:07.372,On-Grid,13
2564349762,2023-01-01T09:00:17.368273,PV4Current,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349763,2023-01-01T09:00:17.368793,Temp,J01G11301BNB114,2023-01-01T05:58:07.372,27,13
2564349764,2023-01-01T09:00:17.369373,BVoltage,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349765,2023-01-01T09:00:17.369977,BCurrent,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349766,2023-01-01T09:00:17.370507,PV4Voltage,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349767,2023-01-01T09:00:17.371037,outputEnergy,J01G11301BNB114,2023-01-01T05:58:07.372,4871.3,13
2564349768,2023-01-01T09:00:17.371561,CVoltage,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349769,2023-01-01T09:00:17.372129,PV2Voltage,J01G11301BNB114,2023-01-01T05:58:07.372,243.2,13
2564349770,2023-01-01T09:00:17.372680,PV3Voltage,J01G11301BNB114,2023-01-01T05:58:07.372,0,13
2564349771,2023-01-01T09:00:17.373209,acActivePower,J01G11301BNB114,2023-01-01T05:58:07.372,0.44,13
2564472476,2023-01-01T09:08:07.980710,PV1Current,J01G11301BNB114,2023-01-01T06:04:07.381,0.8,13
2564472477,2023-01-01T09:08:07.981873,PV1Voltage,J01G11301BNB114,2023-01-01T06:04:07.381,337.7,13
2564472478,2023-01-01T09:08:07.982451,PV3Current,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472479,2023-01-01T09:08:07.983022,powerFactory,J01G11301BNB114,2023-01-01T06:04:07.381,0.944,13
2564472480,2023-01-01T09:08:07.983579,deviceID,J01G11301BNB114,2023-01-01T06:04:07.381,J01G11301BNB114,13
2564472481,2023-01-01T09:08:07.984162,CCurrent,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472482,2023-01-01T09:08:07.984729,PV2Current,J01G11301BNB114,2023-01-01T06:04:07.381,0.7,13
2564472483,2023-01-01T09:08:07.985265,lineFrequency,J01G11301BNB114,2023-01-01T06:04:07.381,60,13
2564472484,2023-01-01T09:08:07.985800,ACurrent,J01G11301BNB114,2023-01-01T06:04:07.381,2.5,13
2564472485,2023-01-01T09:08:07.986359,AVoltage,J01G11301BNB114,2023-01-01T06:04:07.381,223.7,13
2564472486,2023-01-01T09:08:07.986921,inverterStatus,J01G11301BNB114,2023-01-01T06:04:07.381,On-Grid,13
2564472487,2023-01-01T09:08:07.987465,PV4Current,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472488,2023-01-01T09:08:07.988002,Temp,J01G11301BNB114,2023-01-01T06:04:07.381,28,13
2564472489,2023-01-01T09:08:07.988536,BVoltage,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472490,2023-01-01T09:08:07.989067,BCurrent,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472491,2023-01-01T09:08:07.989602,PV4Voltage,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472492,2023-01-01T09:08:07.990141,outputEnergy,J01G11301BNB114,2023-01-01T06:04:07.381,4871.4,13
2564472493,2023-01-01T09:08:07.990698,CVoltage,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472494,2023-01-01T09:08:07.991269,PV2Voltage,J01G11301BNB114,2023-01-01T06:04:07.381,245.8,13
2564472495,2023-01-01T09:08:07.991827,PV3Voltage,J01G11301BNB114,2023-01-01T06:04:07.381,0,13
2564472496,2023-01-01T09:08:07.992364,acActivePower,J01G11301BNB114,2023-01-01T06:04:07.381,0.528,13
2564625589,2023-01-01T09:17:52.870631,PV1Current,J01G11301BNB114,2023-01-01T06:11:37.390,0.9,13
2564625590,2023-01-01T09:17:52.871957,PV1Voltage,J01G11301BNB114,2023-01-01T06:11:37.390,341.6,13
2564625591,2023-01-01T09:17:52.873051,PV3Current,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625592,2023-01-01T09:17:52.875945,powerFactory,J01G11301BNB114,2023-01-01T06:11:37.390,0.952,13
2564625593,2023-01-01T09:17:52.882527,deviceID,J01G11301BNB114,2023-01-01T06:11:37.390,J01G11301BNB114,13
2564625594,2023-01-01T09:17:52.883214,CCurrent,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625595,2023-01-01T09:17:52.885586,PV2Current,J01G11301BNB114,2023-01-01T06:11:37.390,0.8,13
2564625596,2023-01-01T09:17:52.886467,lineFrequency,J01G11301BNB114,2023-01-01T06:11:37.390,59.98,13
2564625597,2023-01-01T09:17:52.890439,ACurrent,J01G11301BNB114,2023-01-01T06:11:37.390,2.7,13
2564625598,2023-01-01T09:17:52.898730,AVoltage,J01G11301BNB114,2023-01-01T06:11:37.390,228.8,13
2564625599,2023-01-01T09:17:52.899391,inverterStatus,J01G11301BNB114,2023-01-01T06:11:37.390,On-Grid,13
2564625600,2023-01-01T09:17:52.900053,PV4Current,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625601,2023-01-01T09:17:52.900655,Temp,J01G11301BNB114,2023-01-01T06:11:37.390,28,13
2564625602,2023-01-01T09:17:52.901317,BVoltage,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625603,2023-01-01T09:17:52.906159,BCurrent,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625604,2023-01-01T09:17:52.907971,PV4Voltage,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625605,2023-01-01T09:17:52.908569,outputEnergy,J01G11301BNB114,2023-01-01T06:11:37.390,4871.4,13
2564625606,2023-01-01T09:17:52.909145,CVoltage,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625607,2023-01-01T09:17:52.909721,PV2Voltage,J01G11301BNB114,2023-01-01T06:11:37.390,250.7,13
2564625608,2023-01-01T09:17:52.910359,PV3Voltage,J01G11301BNB114,2023-01-01T06:11:37.390,0,13
2564625609,2023-01-01T09:17:52.910940,acActivePower,J01G11301BNB114,2023-01-01T06:11:37.390,0.588,13
2564748294,2023-01-01T09:25:55.753546,PV1Current,J01G11301BNB114,2023-01-01T06:17:37.398,1,13
2564748295,2023-01-01T09:25:55.754690,PV1Voltage,J01G11301BNB114,2023-01-01T06:17:37.398,346.8,13
2564748296,2023-01-01T09:25:55.755259,PV3Current,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748297,2023-01-01T09:25:55.755787,powerFactory,J01G11301BNB114,2023-01-01T06:17:37.398,0.988,13
2564748298,2023-01-01T09:25:55.756302,deviceID,J01G11301BNB114,2023-01-01T06:17:37.398,J01G11301BNB114,13
2564748299,2023-01-01T09:25:55.756826,CCurrent,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748300,2023-01-01T09:25:55.757350,PV2Current,J01G11301BNB114,2023-01-01T06:17:37.398,0.9,13
2564748301,2023-01-01T09:25:55.757876,lineFrequency,J01G11301BNB114,2023-01-01T06:17:37.398,60.03,13
2564748302,2023-01-01T09:25:55.758399,ACurrent,J01G11301BNB114,2023-01-01T06:17:37.398,2.8,13
2564748303,2023-01-01T09:25:55.758926,AVoltage,J01G11301BNB114,2023-01-01T06:17:37.398,229.5,13
2564748304,2023-01-01T09:25:55.759503,inverterStatus,J01G11301BNB114,2023-01-01T06:17:37.398,On-Grid,13
2564748305,2023-01-01T09:25:55.760091,PV4Current,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748306,2023-01-01T09:25:55.760656,Temp,J01G11301BNB114,2023-01-01T06:17:37.398,29,13
2564748307,2023-01-01T09:25:55.761233,BVoltage,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748308,2023-01-01T09:25:55.761772,BCurrent,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748309,2023-01-01T09:25:55.762345,PV4Voltage,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748310,2023-01-01T09:25:55.762864,outputEnergy,J01G11301BNB114,2023-01-01T06:17:37.398,4871.5,13
2564748311,2023-01-01T09:25:55.763382,CVoltage,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748312,2023-01-01T09:25:55.763899,PV2Voltage,J01G11301BNB114,2023-01-01T06:17:37.398,256.7,13
2564748313,2023-01-01T09:25:55.764448,PV3Voltage,J01G11301BNB114,2023-01-01T06:17:37.398,0,13
2564748314,2023-01-01T09:25:55.764991,acActivePower,J01G11301BNB114,2023-01-01T06:17:37.398,0.635,13
2564870263,2023-01-01T09:34:10.164406,PV1Current,J01G11301BNB114,2023-01-01T06:23:37.407,1.9,13
2564870264,2023-01-01T09:34:10.165616,PV1Voltage,J01G11301BNB114,2023-01-01T06:23:37.407,315.7,13
2564870265,2023-01-01T09:34:10.166201,PV3Current,J01G11301BNB114,2023-01-01T06:23:37.407,0,13
2564870266,2023-01-01T09:34:10.166745,powerFactory,J01G11301BNB114,2023-01-01T06:23:37.407,1,13
2564870267,2023-01-01T09:34:10.167284,deviceID,J01G11301BNB114,2023-01-01T06:23:37.407,J01G11301BNB114,13
2564870268,2023-01-01T09:34:10.167823,CCurrent,J01G11301BNB114,2023-01-01T06:23:37.407,0,13
2564870269,2023-01-01T09:34:10.168343,PV2Current,J01G11301BNB114,2023-01-01T06:23:37.407,0.9,13
2564870270,2023-01-01T09:34:10.168895,lineFrequency,J01G11301BNB114,2023-01-01T06:23:37.407,59.99,13
2564870271,2023-01-01T09:34:10.169430,ACurrent,J01G11301BNB114,2023-01-01T06:23:37.407,3.9,13
2564870272,2023-01-01T09:34:10.169962,AVoltage,J01G11301BNB114,2023-01-01T06:23:37.407,227.3,13
